eps,one_minus_F,one_minus_XEB,xeb,T_total,T_median,T_min,T_max,H_total,S_total,X_total,max_synth_err
0.01,0.006538642675879003,0.006848024291184807,1.0105192698826224,12418,22,0,30,12786,7339,239,0.004991205421824545
0.001,7.539356059660385e-05,-0.0001445882764550266,1.0176341625871155,18412,32,22,44,18806,10078,281,0.0004990683542073425
0.0001,1.0255379829793299e-06,1.8574632921763978e-05,1.017468146440455,24494,44,36,56,24862,13170,272,4.9963129901532784e-05
1e-05,8.9689129456616e-09,-7.511852282426901e-07,1.0174878102100737,30092,52,44,68,30458,15878,264,4.998632808710707e-06
1e-06,9.512568510672281e-11,9.757169627810924e-09,1.0174870359610413,35764,64,56,80,36147,18789,284,4.997228433700288e-07
